episode,humor,enjoyment,main_characters,emotionalness
Pilot,low,65,8,not emotional
The Lorelais first day at Chilton,medium,75,9,not emotional
Kill Me Now,medium,78,7,somewhat emotional
The Deer Hunters,high,79,6,somewhat emotional
Cinnamons Wake,medium,70,7,emotional
Rory's Birthday Parties,high,80,8,somewhat emotional
Kiss and Tell,medium,80,5,not emotional
Love and War and Snow,high,85,8,somewhat emotional
Rory's Dance,medium,85,5,emotional
Forgiveness and Stuff,low,87,7,emotional
Paris Is Burning,low,82,6,emotional
Double Date,medium,70,6,not emotional
Concert Interruptus,medium,80,5,emotional
That Damn Donna Reed,high,81,8,somewhat emotional
Christopher Returns,high,84,7,emotional
Star-Crossed Lovers and Other Strangers,low,86,8,emotional
"The Breakup, Part 2",medium,84,5,emotional
The Third Lorelai,medium,72,6,not emotional
Emily in Wonderland,high,86,7,somewhat emotional
P.S I Lo...,medium,85,8,emotional
"Love, Daisies, and Troubadours",low,88,6,emotional
The Long Morrow,medium,80,9,somewhat emotional
"That's what you get, folks, for making whoopee",low,75,7,emotional
Lorelais first cotillion,medium,76,10,emotional
"S wonderful, 'S Marvelous",medium,84,9,somewhat emotional
The great stink,low,72,10,not emotional
"Go, bulldogs!",low,74,10,not emotional
French Twist,medium,76,6,somewhat emotional
Introducing Lorelai Planetarium,low,70,4,somewhat emotional
"Knit, people, knit!",low,65,9,somewhat emotional
Merry fisticuffs,low,70,6,emotional
Santas secret stuff,medium,75,6,somewhat emotional
To whom it may concern,low,66,6,somewhat emotional
I'd rather be in philadelphia,low,70,8,emotional
"Farewell, my pet",medium,72,10,emotional
"I'm a kayak, hear me roar",medium,69,9,emotional
Will you be my lorelai gilmore?,medium,67,8,somewhat emotional
Gilmore girls only,medium,74,8,emotional
Hay bale maze,high,78,8,somewhat emotional
It's just like riding a bike,low,70,7,somewhat emotional
Lorelai? Lorelai?,high,79,10,somewhat emotional
Unto the breach,medium,72,10,emotional
Bon voyage,low,78,9,emotional
